UID          PID    PPID  C STIME TTY          TIME CMD
root         638       1  0 07:57 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         640       1  0 07:57 ?        00:00:06 /usr/libexec/polkitd --no-debug
root         641       1  0 07:57 ?        00:00:00 /usr/libexec/power-profiles-daemon
syslog       642       1  0 07:57 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         645       1  0 07:57 ?        00:00:24 /usr/lib/snapd/snapd
root         647       1  0 07:57 ?        00:00:00 /usr/libexec/switcheroo-control
root         649       1  0 07:57 ?        00:00:01 /lib/systemd/systemd-logind
root         650       1  0 07:57 ?        00:01:44 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root         651       1  0 07:57 ?        00:00:13 /usr/libexec/udisks2/udisksd
root         652       1  0 07:57 ?        00:00:01 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        662     619  0 07:57 ?        00:00:00 avahi-daemon: chroot helper
root         693       1  0 07:57 ?        00:00:00 /usr/sbin/ModemManager
root         726       1  0 07:58 ?        00:00:00 /usr/sbin/cupsd -l
root         730       1  2 07:58 ?        00:06:52 /snap/multipass/10244/bin/multipassd --verbosity debug --logger platform
root         733       1  0 07:58 ?        00:00:46 /usr/bin/containerd
root         781       1  0 07:58 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root         789       1  0 07:58 ?        00:00:00 /usr/sbin/gdm3
root         823       1  0 07:58 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
rtkit       1029       1  0 07:58 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1275       1  0 07:58 ?        00:00:00 /usr/libexec/upowerd
root        1289       1  0 07:58 ?        00:00:06 /usr/libexec/packagekitd
root        1339       1  0 07:58 ?        00:00:19 dockerd --group docker --exec-root=/run/snap.docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/run/snap.docker/docker.pid --config-file=/var/snap/docker/2904/config/daemon.json
root        1612       1  0 07:58 ?        00:00:00 /usr/sbin/cups-browsed
root        1613       1  0 07:58 ?        00:00:11 /usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
kernoops    1623       1  0 07:58 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    1627       1  0 07:58 ?        00:00:00 /usr/sbin/kerneloops
colord      1647       1  0 07:58 ?        00:00:00 /usr/libexec/colord
nobody      2087     730  0 07:58 ?        00:00:01 /snap/multipass/10244/usr/sbin/dnsmasq --keep-in-foreground --strict-order --bind-interfaces --pid-file --domain=multipass --local=/multipass/ --except-interface=lo --interface=mpqemubr0 --listen-address=10.126.63.1 --dhcp-no-override --dhcp-ignore-clid --dhcp-authoritative --dhcp-leasefile=/var/snap/multipass/common/data/multipassd/network/dnsmasq.leases --dhcp-hostsfile=/var/snap/multipass/common/data/multipassd/network/dnsmasq.hosts --dhcp-range 10.126.63.2,10.126.63.254,infinite --conf-file=/var/snap/multipass/common/data/multipassd/network/dnsmasq-MAActd.conf
root        2122    1339  0 07:58 ?        00:00:31 containerd --config /run/snap.docker/containerd/containerd.toml --log-level error
root        2367     730  1 07:58 ?        00:04:24 /snap/multipass/10244/usr/bin/qemu-system-x86_64 -bios OVMF.fd --enable-kvm -cpu host -nic tap,ifname=tap-356017058d4,script=no,downscript=no,model=virtio-net-pci,mac=52:54:00:38:51:d8 -device virtio-scsi-pci,id=scsi0 -drive file=/var/snap/multipass/common/data/multipassd/vault/instances/prodigious-grosbeak/focal-server-cloudimg-amd64.img,if=none,format=qcow2,discard=unmap,id=hda -device scsi-hd,drive=hda,bus=scsi0.0 -smp 1 -m 1024M -qmp stdio -chardev null,id=char0 -serial chardev:char0 -nographic -cdrom /var/snap/multipass/common/data/multipassd/vault/instances/prodigious-grosbeak/cloud-init-config.iso
root        2377       2  0 07:58 ?        00:00:00 [kvm]
root        2378       2  0 07:58 ?        00:00:00 [kvm-nx-lpage-recovery-2367]
root        2407       2  0 07:58 ?        00:00:00 [kvm-pit/2367]
root        2410     730  2 07:58 ?        00:05:39 /snap/multipass/10244/usr/bin/qemu-system-x86_64 -bios OVMF.fd --enable-kvm -cpu host -nic tap,ifname=tap-1e376645a40,script=no,downscript=no,model=virtio-net-pci,mac=52:54:00:c6:e8:6a -device virtio-scsi-pci,id=scsi0 -drive file=/var/snap/multipass/common/data/multipassd/vault/instances/primary/ubuntu-22.04-server-cloudimg-amd64.img,if=none,format=qcow2,discard=unmap,id=hda -device scsi-hd,drive=hda,bus=scsi0.0 -smp 1 -m 1024M -qmp stdio -chardev null,id=char0 -serial chardev:char0 -nographic -cdrom /var/snap/multipass/common/data/multipassd/vault/instances/primary/cloud-init-config.iso
root        2420       2  0 07:58 ?        00:00:00 [kvm]
root        2421       2  0 07:58 ?        00:00:00 [kvm-nx-lpage-recovery-2410]
root        2429       2  0 07:58 ?        00:00:00 [kvm-pit/2410]
